baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BCL10	1102.63981518333	1.0445326951219	0.183408423648084	5.69511843755937	1.2328630784445e-08	6.85840759780349e-07
BCL2	209.975602615661	1.33185012384985	0.321484907178684	4.14280762209965	3.43079721994758e-05	0.00044116266211823
BDKRB2	199.623526198058	1.23843959798462	0.245677895976873	5.04090770177061	4.63328905438358e-07	1.38704182920424e-05
BEND4	14.1902450525446	1.12481464711996	0.383739384094684	2.93119417433166	0.00337661652305024	0.0162174002279741
BEST2	41.6648516378454	3.32665144693037	0.69208557107581	4.80670539303292	1.53437838276366e-06	3.6194935807096e-05
BEST4	43.3609547622977	4.17828128541624	0.519995103895221	8.03523197452674	9.3402021440789e-16	5.07604062676288e-13
BFSP1	29.1366102023704	-2.35401262538116	0.494673619731214	-4.75871874198635	1.94825684249153e-06	4.38357789560594e-05
BGN	141.082252568992	-2.82461976452969	0.605694660791008	-4.66343844081583	3.10969237600056e-06	6.4052410018787e-05
BHLHE40	1103.90469708445	-1.59814426868345	0.303598482568344	-5.26400611479896	1.40949758375879e-07	5.24110548908201e-06
BHLHE41	300.870257076746	1.24916823252123	0.447200019572598	2.79330987891078	0.00521716871907849	0.0226014583034004
BICD1	120.948279269393	-1.88993701012753	0.414871675268692	-4.55547371100597	5.22676525739441e-06	9.82436436718971e-05
BIVM-ERCC5	459.584098132865	-1.33423278490307	0.456311940303627	-2.92394887588363	0.00345621506190408	0.0164764908315468
BMP2	334.878574475737	1.82294473209598	0.400196584315548	4.55512316581548	5.23548929121999e-06	9.82436436718971e-05
BMP3	109.231312862167	4.51066669001384	0.522333083418605	8.635613621278	5.84126309106102e-18	4.85512043980543e-15
BMP4	484.811419309283	-1.70725785140934	0.389280585596992	-4.38567427859555	1.15627037042506e-05	0.000184195043225547
BMP5	140.775137474386	2.10695903252078	0.488225429861781	4.31554545021809	1.59209289019779e-05	0.000235822709073165
BMP6	49.7118936984242	1.85053333328303	0.309510366465511	5.97890582604843	2.24641370679794e-09	1.60312250894217e-07
BMP7	102.54923555996	-2.04273631107768	0.425384061927374	-4.80209884174371	1.57011151601864e-06	3.67921653753623e-05
BMP8B	46.7713699658222	1.27162500277882	0.369401565052212	3.44239202830418	0.000576593988244056	0.00413387768157825
BMX	36.4958793651386	1.91791605677954	0.577565216640109	3.32069176176623	0.000897946486155539	0.00577269618587663
BORA	211.261339673381	-1.00009469044065	0.297520618366108	-3.36142985966102	0.000775400474658193	0.0051778869125332
BRCA2	720.510796327145	-1.5709563597431	0.316299893866878	-4.96666736285492	6.81132719958056e-07	1.90582283821927e-05
BTK	55.3855920975489	1.06357407496489	0.423082413178566	2.51386973751613	0.0119414531741661	0.0423101136787782
BTLA	35.2044866067497	1.31482317175538	0.392400214768877	3.35071980663875	0.000806018125570242	0.00531949374792505
BTNL3	254.598185245627	1.68282932669847	0.56072155509731	3.00118536803248	0.00268930798226036	0.0136788775339593
BTNL8	266.228841647838	2.30244048939205	0.570352302512553	4.03687419030166	5.41680981012965e-05	0.00063836132291186
BUB1	401.365337433558	-1.17397785571038	0.311969923495675	-3.76311229799258	0.000167811800497245	0.00158819875487346
BYSL	54.060935442828	-1.06636493516604	0.301703033559053	-3.53448529365655	0.000408570170915327	0.00313171382455664
BZRAP1	125.408329848782	-1.31018421552196	0.418993996771	-3.12697610376035	0.00176614282007964	0.00986387274613651
C10orf2	148.984026066166	-1.26466860476764	0.24166407760324	-5.23316753284263	1.66629582954897e-07	6.00631634477729e-06
C10orf35	10.7223852737213	-1.5908315583205	0.459647340369549	-3.46098284184891	0.00053820711420957	0.00390794785394718
C10orf54	110.530898392617	1.31262756020489	0.334654814831392	3.92233280990213	8.7695743882448e-05	0.000932385899969142
C11orf82	90.0979099436963	-1.02599480593288	0.378370092278075	-2.7116170830406	0.00669558901349392	0.0272726067341219
C11orf86	20.5743374408339	2.71202210909475	0.764558411786974	3.5471745092125	0.000389386573781388	0.00301811974082886
C12orf28	15.6784751729115	-2.6562967086243	0.651045471676714	-4.08004789862562	4.50264217840719e-05	0.000554201515513011
C14orf132	64.3112284930948	1.13473501789816	0.387489366367973	2.92842879414807	0.00340679855565124	0.0163124580113019
C15orf48	299.181198879943	1.93667661406481	0.393175933174701	4.92572523050204	8.40480350474067e-07	2.2106080756305e-05
C15orf62	9.63774790076189	-2.19238550641795	0.531680221878928	-4.12350397137246	3.73152023304841e-05	0.000474584886525419
C16orf46	20.9676497269745	-1.78891276582399	0.461408582127741	-3.87706868731092	0.00010572251879001	0.0010872337631025
C16orf5	28.5842459393908	1.51372327364189	0.415789797861361	3.64059743992712	0.000272006141328974	0.00229459509073338
C16orf55	21.0363430557181	-1.03009599898345	0.377414573700382	-2.72934876065812	0.00634595502780598	0.0261881847379961
C16orf89	9.01692389730193	3.2922406581082	0.698167721561904	4.71554406832641	2.41065708200303e-06	5.19246715986322e-05
C17orf103	25.6150537582178	-1.1646916265917	0.340764374153386	-3.41787966974343	0.000631110023486915	0.00441464585736144
C17orf53	23.4404976244871	-1.90489339855455	0.564161907383029	-3.37650127317307	0.000734140322692945	0.00497525312213493
C17orf77	29.7067572876529	-3.22280921438524	0.7208090236346	-4.47109998447935	7.7818303854425e-06	0.00013338403360968
C17orf78	17.3780327448851	-3.94127197967221	1.21975870679902	-3.2311898719831	0.00123276019991181	0.00738089051896353
C17orf96	30.1083035808672	-3.77956824516394	0.715947563289457	-5.27911321856942	1.29810581299904e-07	4.93070837034312e-06
C18orf32	46.043491295805	1.22958934985223	0.384237743062348	3.20007436034911	0.00137392135475147	0.00810246608624299
C19orf21	1262.18154815019	1.01698734582716	0.224329956908071	4.53344421692158	5.80295965686151e-06	0.000105905661468302
C19orf44	30.9968669662247	-1.40575991936589	0.354494280601631	-3.96553624780659	7.32311220043738e-05	0.000807771860985013
C19orf45	6.76991871194223	-2.47910650676391	0.810788361843748	-3.05764934899457	0.00223080446655023	0.0118101412935012
C19orf55	31.7056289062259	-1.29500489469573	0.36564017805106	-3.54174670190344	0.00039748696914137	0.00307079872824908
C19orf57	12.5446451235029	-1.27574827187253	0.478553563612898	-2.66584217290351	0.00767957364533708	0.0302943919012993
